id,A,B,Res
263,3.765,4.7809,F
264,3.754,4.7818,F
265,3.777,4.7535,F
266,3.784,4.7562,F
267,3.789,4.7348,F
268,3.796,4.7505,F
269,3.8,4.7402,F
270,3.787,4.7385,F
271,3.81,4.7205,F
272,3.782,4.7229,F
273,3.815,4.7375,F
274,3.819,4.7596,F
275,3.812,4.7492,F
276,3.815,4.7542,F
277,3.824,4.7796,F
278,3.841,4.8035,F
279,3.838,4.813,T
280,3.846,4.8231,F
281,3.833,4.8084,F
282,3.864,4.7936,F
283,3.863,4.8037,F
284,3.871,4.8187,F
285,3.886,4.849,F
286,3.889,4.8366,F
287,3.914,4.876,F
288,3.958,4.9257,F
289,3.994,4.9259,F
290,3.985,4.9072,F
291,3.96,4.8969,F
292,3.991,4.8926,F
293,3.944,4.8727,F
294,3.948,4.8881,F
295,3.918,4.8816,F
296,3.904,4.8556,F
297,3.919,4.8702,T
298,3.935,4.923,F
299,3.922,4.8832,F
300,3.934,4.8501,F
301,3.93,4.8266,F
302,3.923,4.8122,F
303,3.914,4.7857,F
304,3.909,4.7747,F
305,3.929,4.7931,F
306,3.908,4.7514,F
307,3.889,4.7246,F
308,3.918,4.719,F
309,3.963,4.7137,F
310,3.971,4.7253,F
311,3.96,4.6848,T
312,3.974,4.6759,T
313,3.958,4.6727,T
314,3.956,4.6636,F
315,3.945,4.6471,F
316,3.939,4.6301,F
317,3.899,4.5678,F
318,3.914,4.5491,F
319,3.93,4.558,T
320,3.928,4.5475,F
321,3.933,4.5542,T
322,3.935,4.5767,T
323,3.963,4.4638,F
324,3.998,4.4903,T
325,3.995,4.5024,F
326,3.945,4.483,F
327,3.926,4.4403,F
328,3.924,4.4527,F
329,3.937,4.461,F
330,3.93,4.4606,F
331,3.894,4.4535,T
332,3.875,4.4247,F
333,3.869,4.4335,F
334,3.88,4.3858,F
335,3.875,4.3772,F
336,3.864,4.3714,F
337,3.893,4.4152,T
338,3.883,4.4375,T
339,3.89,4.4409,T
340,3.865,4.4151,F
341,3.85,4.3797,F
342,3.844,4.3718,F
343,3.861,4.3751,F
344,3.858,4.3608,F
345,3.952,4.4776,F
346,3.938,4.4673,F
347,3.933,4.4654,F
348,3.966,4.4473,F
349,3.986,4.4779,F
350,3.987,4.4519,F
351,3.984,4.4308,F
352,4.017,4.3697,F
353,4.041,4.341,F
354,4.049,4.2896,F
355,4.022,4.2723,F
356,4.015,4.2622,F
357,4.019,4.238,F
358,4.02,4.2669,F
359,4.006,4.2671,F
360,4.053,4.3287,F
361,4.018,4.3737,F
362,3.926,4.3141,F
363,3.948,4.3355,F
364,3.944,4.3408,F
365,3.973,4.3194,T
366,3.971,4.3024,F
367,3.98,4.2735,T
368,3.974,4.2784,F
369,3.956,4.2775,F
370,3.939,4.2774,F
371,3.939,4.2753,F
372,3.943,4.2349,F
373,4.014,4.2259,F
374,3.984,4.2117,F
375,3.975,4.2187,F
376,3.935,4.219,F
377,3.929,4.2426,F
378,3.925,4.2167,F
379,3.946,4.216,F
380,3.951,4.2492,F
381,3.924,4.2687,F
382,3.931,4.2597,F
383,3.894,4.2543,F
384,3.872,4.2624,F
385,3.861,4.3175,F
386,3.858,4.3432,F
387,3.89,4.3302,T
388,3.879,4.316,F
389,3.867,4.3427,T
390,3.865,4.3673,F
391,3.868,4.3438,F
392,3.872,4.3143,T
393,3.863,4.3472,F
394,3.855,4.3273,F
395,3.819,4.3615,F
396,3.825,4.3457,T
397,3.819,4.3608,F
398,3.852,4.3169,F
399,3.874,4.3043,F
400,3.86,4.3026,T
401,3.873,4.3229,F
402,3.875,4.232,F
403,3.875,4.2156,F
404,3.88,4.2413,F
405,3.876,4.2502,F
406,3.872,4.2306,F
407,3.862,4.2571,F
408,3.864,4.2988,F
409,3.836,4.356,T
410,3.841,4.3287,T
411,3.868,4.3099,F
412,3.833,4.3156,F
413,3.827,4.3218,F
414,3.828,4.3145,F
415,3.838,4.3119,F
416,3.842,4.3077,F
417,3.835,4.3157,F
418,3.842,4.3301,F
419,3.812,4.3484,F
420,3.834,4.3348,F
421,3.833,4.3504,T
422,3.779,4.2368,F
423,3.761,4.2179,F
424,3.77,4.2232,F
425,3.792,4.2508,F
426,3.8,4.2267,F
427,3.769,4.2194,T
428,3.777,4.1952,F
429,3.78,4.1853,F
430,3.769,4.1864,T
431,3.776,4.1638,F
432,3.78,4.145,F
433,3.797,4.1812,F
434,3.786,4.1851,F
435,3.777,4.1979,F
436,3.776,4.183,F
437,3.775,4.1639,F
438,3.765,4.1422,F
439,3.789,4.1267,F
440,3.789,4.1274,F
441,3.824,4.1437,F
442,3.809,4.1386,F
443,3.809,4.1648,F
444,3.818,4.1993,F
445,3.825,4.1809,F
446,3.806,4.215,F
447,3.774,4.1643,F
448,3.782,4.1844,T
449,3.781,4.1426,T
450,3.783,4.1368,F
451,3.772,4.1345,F
452,3.783,4.1524,F
453,3.807,4.1349,T
454,3.813,4.158,F
455,3.808,4.163,F
456,3.813,4.1682,F
457,3.818,4.2144,F
458,3.815,4.2511,F
459,3.807,4.2281,F
460,3.789,4.2159,F
461,3.81,4.2225,F
462,3.829,4.2366,F
463,3.878,4.2804,F
464,3.883,4.3426,F
465,3.874,4.3559,F
466,3.878,4.4582,F
467,3.864,4.4504,F
468,3.921,4.4749,T
469,3.928,4.4327,F
470,3.922,4.4284,F
471,3.93,4.4035,F
472,3.923,4.4202,F
473,3.93,4.4268,F
474,3.934,4.416,F
475,3.927,4.3758,F
476,3.933,4.385,F
477,3.922,4.3773,F
478,3.881,4.3256,F
479,3.906,4.3712,F
480,3.866,4.369,F
481,3.889,4.3628,F
482,3.874,4.3839,F
483,3.863,4.4246,F
484,3.923,4.4145,F
485,3.941,4.4318,F
486,3.949,4.4008,F
487,3.936,4.429,F
488,3.923,4.4038,F
489,3.918,4.3692,F
490,3.923,4.3811,F
491,3.874,4.3465,F
492,3.85,4.333,T
493,3.848,4.346,F
494,3.842,4.3483,F
495,3.835,4.3609,F
496,3.866,4.3964,T
497,3.85,4.3909,T
498,3.821,4.3689,T
499,3.816,4.3358,T
500,3.842,4.349,F
501,3.859,4.3921,F
502,3.861,4.3837,F
503,3.855,4.3623,F
504,3.881,4.3056,F
505,3.894,4.2941,F
506,3.866,4.276,F
507,3.872,4.2922,F
508,3.883,4.2592,F
509,3.867,4.2529,T
510,3.868,4.261,F
511,3.878,4.256,F
512,3.877,4.2395,F
513,3.888,4.2218,F
514,3.886,4.2281,F
515,3.913,4.2204,F
516,3.921,4.2075,T
517,3.911,4.1912,F
518,3.891,4.1748,F
519,3.889,4.1823,F
520,3.892,4.1776,F
521,3.905,4.1635,F
522,3.904,4.1627,F
523,3.885,4.1627,F
524,3.878,4.1447,F
525,3.894,4.1383,F
526,3.873,4.1219,F
527,3.877,4.1056,F
528,3.88,4.1189,T
529,3.889,4.1285,F
530,3.877,4.0995,F
531,3.879,4.1105,F
532,3.879,4.11,F
533,3.887,4.1005,F
534,3.857,4.195,F
535,3.855,4.166,F
536,3.878,4.2123,T
537,3.885,4.252,T
538,3.867,4.2357,F
539,3.86,4.2282,T
540,3.856,4.2318,F
541,3.859,4.2414,F
542,3.878,4.2356,T
543,3.895,4.2244,F
544,3.896,4.2138,F
545,3.9,4.2374,F
546,3.905,4.2703,F
547,3.895,4.2568,F
548,3.892,4.2635,F
549,3.886,4.2697,F
550,3.883,4.2595,F
551,3.896,4.2569,F
552,3.902,4.2468,T
553,3.913,4.2689,F
554,3.928,4.2293,F
555,3.941,4.2378,F
556,3.937,4.2728,T
557,3.922,4.2676,F
558,3.929,4.2812,F
559,3.942,4.2735,F
560,3.943,4.2618,T
561,3.944,4.3119,F
562,3.943,4.3026,F
563,3.955,4.3104,F
564,3.953,4.2955,F
565,3.983,4.3469,F
566,3.972,4.3302,F
567,3.971,4.304,F
568,3.982,4.3081,F
569,3.976,4.3075,F
570,3.972,4.3217,F
571,3.961,4.3202,F
572,3.951,4.3097,F
573,3.955,4.2971,F
574,3.955,4.317,F
575,3.964,4.3316,F
576,3.909,4.3696,F
577,3.883,4.3457,F
578,3.89,4.3273,F
579,3.887,4.364,F
580,3.871,4.3587,F
581,3.888,4.4002,F
582,3.882,4.3751,F
583,3.889,4.3483,T
584,3.913,4.3678,F
585,3.906,4.3516,F
586,3.902,4.3367,F
587,3.911,4.3489,F
588,3.907,4.3198,F
589,3.907,4.2992,F
590,3.927,4.3056,F
591,3.907,4.3104,T
592,3.906,4.2994,F
593,3.91,4.2547,T
594,3.902,4.2373,F
595,3.886,4.2173,F
596,3.887,4.2305,T
597,3.893,4.2573,F
598,3.912,4.2812,F
599,3.911,4.311,F
600,3.906,4.288,F
601,3.903,4.2451,F
602,3.875,4.3115,T
603,3.878,4.3092,F
604,3.891,4.3255,F
605,3.901,4.3247,T
606,3.853,4.3521,T
607,3.857,4.347,F
608,3.855,4.3446,F
609,3.851,4.3222,F
610,3.842,4.2932,F
611,3.837,4.2827,F
612,3.826,4.284,F
613,3.788,4.2898,F
614,3.766,4.2856,T
615,3.786,4.3145,F
616,3.784,4.3041,F
617,3.802,4.3201,F
618,3.819,4.3294,F
619,3.795,4.3115,F
620,3.786,4.3131,T
621,3.782,4.308,F
622,3.765,4.2941,F
623,3.773,4.2631,F
624,3.789,4.266,F
625,3.785,4.265,F
626,3.773,4.2643,F
627,3.763,4.2676,F
628,3.758,4.2751,F
629,3.764,4.2619,F
630,3.774,4.2492,F
631,3.763,4.2498,F
632,3.768,4.267,F
633,3.761,4.2717,F
634,3.746,4.3018,F
635,3.747,4.3356,F
636,3.777,4.336,F
637,3.781,4.3213,F
638,3.788,4.3249,F
639,3.779,4.3038,T
640,3.784,4.3034,F
641,3.772,4.2963,T
642,3.77,4.2788,F
643,3.812,4.3145,T
644,3.818,4.3219,F
645,3.835,4.3234,F
646,3.858,4.3228,F
647,3.871,4.3432,F
648,3.879,4.3455,F
649,3.865,4.3215,T
650,3.855,4.2951,F
651,3.837,4.289,T
652,3.845,4.2994,F
653,3.85,4.2951,F
654,3.853,4.3,F
655,3.854,4.3117,F
656,3.87,4.3149,F
657,3.831,4.3467,F
658,3.818,4.3302,F
659,3.826,4.3533,F
660,3.846,4.3603,F
661,3.849,4.3479,T
662,3.874,4.3669,F
663,3.864,4.335,F
664,3.875,4.3509,F
665,3.871,4.3311,F
666,3.863,4.3382,F
667,3.851,4.3627,F
668,3.859,4.3701,F
669,3.852,4.3472,T
670,3.823,4.3533,F
671,3.885,4.3187,F
672,3.9,4.2912,F
673,3.878,4.3011,F
674,3.858,4.2811,F
675,3.846,4.2839,F
676,3.844,4.2703,F
677,3.856,4.2908,F
678,3.869,4.3109,F
679,3.895,4.3065,T
680,3.878,4.2971,F
681,3.882,4.299,T
682,3.883,4.2894,F
683,3.874,4.304,F
684,3.871,4.2868,F
685,3.852,4.279,F
686,3.844,4.2842,F
687,3.86,4.2652,F
688,3.856,4.2648,F
689,3.859,4.2496,F
690,3.858,4.2486,F
691,3.839,4.2353,F
692,3.846,4.2263,F
693,3.844,4.229,F
694,3.84,4.2219,F
695,3.828,4.2442,F
696,3.828,4.246,T
697,3.806,4.2489,F
698,3.815,4.2712,T
699,3.822,4.2819,F
700,3.826,4.258,F
701,3.821,4.2551,F
702,3.829,4.2464,F
703,3.82,4.2355,F
704,3.811,4.2632,F
705,3.811,4.2494,T
706,3.811,4.2512,F
707,3.808,4.2553,T
708,3.775,4.2536,F
709,3.791,4.2723,F
710,3.776,4.2781,F
711,3.771,4.2725,F
712,3.781,4.2715,F
713,3.768,4.2702,F
714,3.774,4.2508,F
715,3.768,4.2549,F
716,3.754,4.2386,F
717,3.788,4.2373,F
718,3.782,4.2237,F
719,3.786,4.2197,F
720,3.775,4.209,F
721,3.768,4.2172,F
722,3.768,4.2042,F
723,3.766,4.2057,F
724,3.766,4.2339,F
725,3.749,4.2361,T
726,3.754,4.2327,T
727,3.771,4.232,F
728,3.772,4.2373,F
729,3.786,4.2495,F
730,3.779,4.2478,F
731,3.762,4.2251,F
732,3.775,4.2148,T
733,3.776,4.2233,F
734,3.778,4.2106,F
735,3.759,4.2236,F
736,3.76,4.2155,F
737,3.765,4.2335,F
738,3.746,4.2083,F
739,3.758,4.2117,F
740,3.755,4.2144,T
741,3.758,4.203,F
742,3.778,4.2405,F
743,3.778,4.2263,F
744,3.794,4.215,F
745,3.791,4.2315,F
746,3.814,4.2028,F
747,3.815,4.2025,F
748,3.817,4.204,F
749,3.819,4.1993,F
750,3.835,4.2068,F
751,3.848,4.1875,T
752,3.85,4.1878,F
753,3.841,4.1944,T
754,3.841,4.1969,F
755,3.856,4.2116,F
756,3.849,4.2131,F
757,3.827,4.2145,F
758,3.811,4.2245,F
759,3.815,4.2262,F
760,3.807,4.2246,F
761,3.812,4.2165,F
762,3.814,4.2126,F
763,3.799,4.2185,F
764,3.842,4.1828,F
765,3.844,4.1794,F
766,3.852,4.1478,F
767,3.844,4.1404,F
768,3.858,4.1274,F
769,3.853,4.132,F
770,3.873,4.105,F
771,3.867,4.1127,F
772,3.866,4.1059,F
773,3.868,4.1083,F
774,3.876,4.0942,F
775,3.871,4.1003,T
776,3.857,4.089,F
777,3.848,4.0762,F
778,3.839,4.0807,F
779,3.833,4.0755,F
780,3.827,4.0822,F
781,3.817,4.0934,F
782,3.809,4.0877,F
783,3.802,4.0805,F
784,3.787,4.0878,F
785,3.818,4.0521,T
786,3.822,4.0554,T
787,3.81,4.0415,F
788,3.802,4.0481,F
789,3.843,4.0084,F
790,3.85,4.0186,F
791,3.867,4.0307,T
792,3.856,4.0023,F
793,3.83,3.9941,F
794,3.817,3.9894,F
795,3.819,3.9874,F
796,3.85,4.0202,F
797,3.855,4.0069,F
798,3.844,4.0201,F
799,3.845,4.0438,F
800,3.86,4.0085,F
801,3.857,4.024,F
802,3.853,4.0484,F
803,3.843,4.0742,T
804,3.849,4.0521,F
805,3.845,4.0677,F
806,3.852,4.0482,F
807,3.825,4.0733,F
808,3.818,4.0641,F
809,3.826,4.0533,F
810,3.817,4.0893,F
811,3.81,4.0702,F
812,3.81,4.0623,F
813,3.811,4.0563,F
814,3.798,4.0763,F
815,3.787,4.0688,F
816,3.786,4.0702,F
817,3.783,4.0577,F
818,3.798,4.0544,T
819,3.785,4.0242,F
820,3.769,4.0546,F
821,3.768,4.0676,F
822,3.762,4.0658,F
823,3.76,4.0399,F
824,3.747,4.0225,F
825,3.753,4.0072,F
826,3.754,3.9947,F
827,3.749,4.0063,T
828,3.747,3.9882,F
829,3.748,3.9868,T
830,3.746,3.9817,F
831,3.747,3.9542,F
832,3.716,3.9509,F
833,3.716,3.957,F
834,3.707,3.9397,F
835,3.707,3.9066,F
836,3.71,3.8954,F
837,3.708,3.9131,F
838,3.698,3.9183,F
839,3.679,3.8942,F
840,3.659,3.8782,F
841,3.632,3.8246,F
842,3.688,3.8809,F
843,3.693,3.8836,F
844,3.679,3.897,T
845,3.677,3.8866,F
846,3.684,3.8883,F
847,3.688,3.8929,F
848,3.678,3.9012,T
849,3.661,3.893,F
850,3.658,3.8874,F
851,3.631,3.8916,F
852,3.63,3.9095,F
853,3.619,3.8905,F
854,3.614,3.9068,F
855,3.656,3.9438,F
856,3.645,3.9316,F
857,3.646,3.9366,F
858,3.618,3.9327,F
859,3.616,3.9243,T
860,3.625,3.9115,T
861,3.615,3.882,F
862,3.632,3.8822,F
863,3.628,3.867,F
864,3.646,3.882,F
865,3.653,3.9007,F
866,3.648,3.8912,F
867,3.649,3.8828,F
868,3.654,3.8807,F
869,3.647,3.884,T
870,3.665,3.9148,F
871,3.667,3.9329,T
872,3.664,3.9363,F
873,3.681,3.9469,T
874,3.649,3.9622,F
875,3.648,3.9683,F
876,3.634,3.9598,F
877,3.643,3.97,F
878,3.619,3.9395,F
879,3.613,3.9415,F
880,3.616,3.9538,F
881,3.61,3.9635,F
882,3.604,3.9478,F
883,3.603,3.925,F
884,3.605,3.9167,F
885,3.61,3.9252,F
886,3.61,3.9216,F
887,3.598,3.9447,T
888,3.606,3.9853,F
889,3.603,4.0024,F
890,3.605,4.0114,F
891,3.593,4.0015,F
892,3.582,4.0252,F
893,3.589,4.0357,F
894,3.593,4.0192,F
895,3.576,4.0099,F
896,3.574,4.0065,F
897,3.561,3.9684,F
898,3.549,3.9814,F
899,3.558,3.994,F
900,3.548,3.9877,F
901,3.545,3.9864,F
902,3.546,3.9767,F
903,3.539,3.975,F
904,3.532,3.9541,F
905,3.533,3.9656,F
906,3.533,3.9594,F
907,3.529,3.9536,F
908,3.521,3.9305,F
909,3.527,3.9393,F
910,3.52,3.9462,F
911,3.533,3.9408,T
912,3.543,3.9502,F
913,3.543,3.9553,F
914,3.541,3.9565,F
915,3.536,3.9521,F
916,3.518,3.9593,T
917,3.521,4.0022,F
918,3.49,3.9825,F
919,3.496,3.9859,T
920,3.493,3.974,T
921,3.514,3.9889,F
922,3.522,3.9919,F
923,3.53,4.0165,F
924,3.528,4.0282,F
925,3.547,4.0418,F
926,3.576,4.0753,F
927,3.554,4.0698,F
928,3.534,4.0277,F
929,3.538,4.0368,F
930,3.545,4.0638,F
931,3.565,4.1178,F
932,3.588,4.1385,F
933,3.574,4.1052,F
934,3.557,4.14,F
935,3.59,4.1801,F
936,3.569,4.1579,F
937,3.57,4.1572,T
938,3.557,4.1675,F
939,3.56,4.1636,F
940,3.558,4.1745,F
941,3.579,4.2346,T
942,3.589,4.25,F
943,3.607,4.2869,F
944,3.621,4.2734,F
945,3.605,4.2597,F
946,3.601,4.2253,F
947,3.6,4.2157,T
948,3.586,4.217,T
949,3.583,4.2266,F
950,3.589,4.2152,F
951,3.628,4.2465,F
952,3.627,4.2403,F
953,3.624,4.2514,F
954,3.622,4.261,F
955,3.623,4.2575,F
956,3.618,4.2677,T
957,3.599,4.2443,F
958,3.596,4.2415,F
959,3.581,4.2709,F
960,3.577,4.3049,F
961,3.574,4.2713,F
962,3.596,4.2607,F
963,3.584,4.2582,F
964,3.583,4.2647,F
965,3.568,4.242,T
966,3.562,4.2469,T
967,3.528,4.2274,F
968,3.504,4.2268,F
969,3.521,4.2302,T
970,3.536,4.2298,T
971,3.537,4.2362,T
972,3.538,4.2033,F
973,3.523,4.1971,F
974,3.522,4.2062,F
975,3.515,4.2131,F
976,3.512,4.1704,F
977,3.527,4.1567,F
978,3.546,4.1622,T
979,3.529,4.1569,F
980,3.542,4.1553,F
981,3.531,4.1463,F
982,3.522,4.1414,T
983,3.52,4.1155,F
984,3.51,4.12,F
985,3.505,4.1274,F
986,3.506,4.1457,F
987,3.501,4.141,F
988,3.496,4.1257,F
989,3.509,4.1285,F
990,3.514,4.1277,T
991,3.501,4.1402,T
992,3.493,4.121,F
993,3.491,4.1002,F
994,3.501,4.1155,F
995,3.512,4.1349,F
996,3.51,4.1456,F
997,3.535,4.1119,T
998,3.528,4.1035,F
999,3.521,4.0956,F
